coordinate,jdk8_version,jdk8_status,jdk17_version,jdk17_status,jdk21_version,jdk21_status,notes
org.scribe:scribe,1.3.7,bytecode-pass,1.3.7,bytecode-pass,1.3.7,bytecode-pass,
org.scribe:scribe-up,1.3.1,bytecode-pass,1.3.1,bytecode-pass,1.3.1,bytecode-pass,
org.seleniumhq.selenium:htmlunit3-driver,,absent,4.39.0,bytecode-pass,4.39.0,bytecode-pass,
org.skyscreamer:jsonassert,1.3.0,bytecode-pass,1.5.3,bytecode-pass,1.5.3,bytecode-pass,
org.slf4j:slf4j-api,2.0.18,bytecode-pass,2.0.18,bytecode-pass,2.0.18,bytecode-pass,
org.slf4j:slf4j-simple,2.0.18,bytecode-pass,2.0.18,bytecode-pass,2.0.18,bytecode-pass,
org.snmp4j:snmp4j,2.8.18,bytecode-pass,3.12.2,bytecode-pass,3.12.2,bytecode-pass,
org.snmp4j:snmp4j-agent,2.7.9,bytecode-pass,3.9.1,bytecode-pass,3.9.1,bytecode-pass,
org.snmp4j:snmp4j-agent-db,2.7.9,unverified-artifact,3.9.1,bytecode-pass,3.9.1,bytecode-pass,
org.springframework.amqp:spring-amqp,2.4.17,bytecode-pass,3.2.5,bytecode-pass,3.2.5,bytecode-pass,
org.springframework.amqp:spring-rabbit,2.4.17,bytecode-pass,3.2.5,bytecode-pass,3.2.5,bytecode-pass,
org.springframework.integration:spring-integration-mqtt,5.5.20,bytecode-pass,7.1.0,bytecode-pass,7.1.0,bytecode-pass,
org.springframework.kafka:spring-kafka,2.8.11,bytecode-pass,3.3.16,bytecode-pass,3.3.16,bytecode-pass,
org.springframework.plugin:spring-plugin-core,2.0.0.RELEASE,bytecode-pass,3.0.0,bytecode-pass,3.0.0,bytecode-pass,
org.springframework.pulsar:spring-pulsar,,unsupported,1.2.18,bytecode-pass,1.2.18,bytecode-pass,JDK 8: 发布 JAR 的基础字节码超过 JDK 8；不能由提高构建 JVM 绕过本版本线约束
org.springframework:spring-aop,5.3.39,bytecode-pass,6.2.19,bytecode-pass,7.0.8,bytecode-pass,
org.springframework:spring-beans,5.3.39,bytecode-pass,6.2.19,bytecode-pass,7.0.8,bytecode-pass,
org.springframework:spring-context,5.3.39,bytecode-pass,6.2.19,bytecode-pass,7.0.8,bytecode-pass,
org.springframework:spring-core,5.3.39,bytecode-pass,6.2.19,bytecode-pass,7.0.8,bytecode-pass,
org.springframework:spring-expression,5.3.39,bytecode-pass,6.2.19,bytecode-pass,7.0.8,bytecode-pass,
org.springframework:spring-jcl,5.3.39,bytecode-pass,6.2.19,bytecode-pass,6.2.16,bytecode-pass,
org.springframework:spring-jms,5.3.39,bytecode-pass,6.2.19,bytecode-pass,7.0.8,bytecode-pass,
org.springframework:spring-messaging,5.3.39,bytecode-pass,6.2.19,bytecode-pass,7.0.8,bytecode-pass,
org.springframework:spring-test,5.3.39,bytecode-pass,6.2.19,bytecode-pass,7.0.8,bytecode-pass,
org.springframework:spring-web,5.3.39,bytecode-pass,6.2.19,bytecode-pass,7.0.8,bytecode-pass,
org.springframework:spring-webflux,5.3.39,bytecode-pass,6.2.19,bytecode-pass,7.0.8,bytecode-pass,
org.springframework:spring-webmvc,5.3.39,bytecode-pass,6.2.19,bytecode-pass,7.0.8,bytecode-pass,
org.t-io:tio-core,,absent,3.8.6.v20240801-RELEASE,bytecode-pass,3.8.6.v20240801-RELEASE,bytecode-pass,
org.terracotta:management-common-resources-v2,2.1.30.4.43,unverified-artifact,2.1.30.4.43,unverified-artifact,2.1.30.4.43,unverified-artifact,
org.testcontainers:testcontainers,2.0.5,bytecode-pass,2.0.3,bytecode-pass,2.0.3,bytecode-pass,
org.testcontainers:testcontainers-junit-jupiter,2.0.5,bytecode-pass,2.0.3,bytecode-pass,2.0.3,bytecode-pass,
org.testcontainers:testcontainers-kafka,2.0.5,bytecode-pass,2.0.3,bytecode-pass,2.0.3,bytecode-pass,
org.testcontainers:testcontainers-mysql,2.0.5,bytecode-pass,2.0.3,bytecode-pass,2.0.3,bytecode-pass,
org.testcontainers:testcontainers-postgresql,2.0.5,bytecode-pass,2.0.3,bytecode-pass,2.0.3,bytecode-pass,
org.testcontainers:testcontainers-rabbitmq,2.0.5,bytecode-pass,2.0.3,bytecode-pass,2.0.3,bytecode-pass,
org.thymeleaf.extras:thymeleaf-extras-conditionalcomments,2.1.2.RELEASE,bytecode-pass,2.1.2.RELEASE,bytecode-pass,2.1.2.RELEASE,bytecode-pass,
org.thymeleaf.extras:thymeleaf-extras-springsecurity6,,absent,3.1.3.RELEASE,bytecode-pass,3.1.3.RELEASE,bytecode-pass,
org.thymeleaf:thymeleaf,3.0.11.RELEASE,bytecode-pass,3.1.3.RELEASE,bytecode-pass,3.1.3.RELEASE,bytecode-pass,
org.thymeleaf:thymeleaf-spring5,3.1.3.RELEASE,bytecode-pass,,replacement,,replacement,
org.thymeleaf:thymeleaf-spring6,,replacement,3.1.3.RELEASE,bytecode-pass,3.1.3.RELEASE,bytecode-pass,
org.tmatesoft.svnkit:svnkit,1.10.11,bytecode-pass,1.10.11,bytecode-pass,1.10.11,bytecode-pass,
org.webjars.bower:sockjs-client,1.4.0,bytecode-pass,1.4.0,bytecode-pass,1.4.0,bytecode-pass,
org.webjars.bower:stomp-websocket,2.3.4,bytecode-pass,2.3.4,bytecode-pass,2.3.4,bytecode-pass,
org.webjars:swagger-ui,5.32.8,bytecode-pass,5.32.8,bytecode-pass,5.32.8,bytecode-pass,
org.webjars:webjars-locator,0.52,bytecode-pass,0.52,bytecode-pass,0.52,bytecode-pass,
org.webjars:webjars-locator-core,,absent,0.59,bytecode-pass,0.59,bytecode-pass,
org.webjars:webjars-locator-lite,,absent,1.1.2,bytecode-pass,1.1.2,bytecode-pass,
org.wildfly.openssl:wildfly-openssl,1.1.3.Final,bytecode-pass,2.3.0.Final,bytecode-pass,2.3.0.Final,bytecode-pass,
org.wildfly.openssl:wildfly-openssl-java,1.1.3.Final,bytecode-pass,2.3.0.Final,bytecode-pass,2.3.0.Final,bytecode-pass,
org.xerial:sqlite-jdbc,3.51.1.0,bytecode-pass,3.51.1.0,bytecode-pass,3.51.1.0,bytecode-pass,
org.xmlunit:xmlunit-assertj,,absent,2.12.0,bytecode-pass,2.12.0,bytecode-pass,
org.xmlunit:xmlunit-assertj3,,absent,2.12.0,bytecode-pass,2.12.0,bytecode-pass,
org.xmlunit:xmlunit-core,2.12.0,bytecode-pass,2.12.0,bytecode-pass,2.12.0,bytecode-pass,
org.xmlunit:xmlunit-jakarta-jaxb-impl,,absent,2.12.0,bytecode-pass,2.12.0,bytecode-pass,
org.xmlunit:xmlunit-legacy,2.12.0,bytecode-pass,2.12.0,bytecode-pass,2.12.0,bytecode-pass,
org.xmlunit:xmlunit-matchers,2.12.0,bytecode-pass,2.12.0,bytecode-pass,2.12.0,bytecode-pass,
org.xmlunit:xmlunit-placeholders,2.12.0,bytecode-pass,2.12.0,bytecode-pass,2.12.0,bytecode-pass,
org.yaml:snakeyaml,2.6,bytecode-pass,2.6,bytecode-pass,2.6,bytecode-pass,
p6spy:p6spy,3.9.1,bytecode-pass,3.9.1,bytecode-pass,3.9.1,bytecode-pass,
pro.chenggang:mybatis-r2dbc,1.2.5.RELEASE,bytecode-pass,3.1.1.RELEASE,bytecode-pass,3.1.1.RELEASE,bytecode-pass,
redis.clients:jedis,7.5.2,bytecode-pass,7.5.2,bytecode-pass,7.5.2,bytecode-pass,
tech.powerjob:powerjob-client,5.1.2,bytecode-pass,5.1.2,bytecode-pass,5.1.2,bytecode-pass,
tech.tablesaw:tablesaw-core,0.43.1,bytecode-pass,0.44.4,bytecode-pass,0.44.4,bytecode-pass,
tech.tablesaw:tablesaw-saw,0.43.1,bytecode-pass,0.44.4,bytecode-pass,0.44.4,bytecode-pass,
tk.mybatis:mapper,4.3.2,bytecode-pass,5.0.2,bytecode-pass,5.0.2,bytecode-pass,
tools.jackson.core:jackson-databind,,absent,3.2.1,bytecode-pass,3.2.1,bytecode-pass,
us.fatehi:credit_card_number,3.0.0,bytecode-pass,3.0.0,bytecode-pass,3.0.0,bytecode-pass,
us.fatehi:magnetictrackparser,,unsupported,5.0.1,bytecode-pass,5.0.1,bytecode-pass,JDK 8: 发布 JAR 的基础字节码超过 JDK 8；不能由提高构建 JVM 绕过本版本线约束
us.fatehi:pointlocation6709,,unsupported,5.0.1,bytecode-pass,5.0.1,bytecode-pass,JDK 8: 发布 JAR 的基础字节码超过 JDK 8；不能由提高构建 JVM 绕过本版本线约束
us.fatehi:schemacrawler,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-commandline,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-db2,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-diff,16.21.4,bytecode-pass,16.21.4,bytecode-pass,16.21.4,bytecode-pass,
us.fatehi:schemacrawler-distrib,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-hana,16.9.5,unverified-artifact,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-hsqldb,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-lint,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-mysql,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-offline,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-oracle,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-postgresql,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-sapiq,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-scripting,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-sqlite,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-sqlserver,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-timesten,16.9.5,bytecode-pass,17.11.3,bytecode-pass,17.11.3,bytecode-pass,
us.fatehi:schemacrawler-utility,16.9.5,bytecode-pass,17.11.3,unverified-artifact,17.11.3,unverified-artifact,
us.fatehi:sunposition,4.0,bytecode-pass,4.0,bytecode-pass,4.0,bytecode-pass,
ws.schild:jave-all-deps,3.5.0,bytecode-pass,3.5.0,bytecode-pass,3.5.0,bytecode-pass,
ws.schild:jave-core,3.5.0,bytecode-pass,3.5.0,bytecode-pass,3.5.0,bytecode-pass,
ws.schild:jave-nativebin-linux-arm32,3.5.0,bytecode-pass,3.5.0,bytecode-pass,3.5.0,bytecode-pass,
ws.schild:jave-nativebin-linux-arm64,3.5.0,bytecode-pass,3.5.0,bytecode-pass,3.5.0,bytecode-pass,
ws.schild:jave-nativebin-linux32,3.5.0,bytecode-pass,3.5.0,bytecode-pass,3.5.0,bytecode-pass,
ws.schild:jave-nativebin-linux64,3.5.0,bytecode-pass,3.5.0,bytecode-pass,3.5.0,bytecode-pass,
ws.schild:jave-nativebin-osx64,3.5.0,bytecode-pass,3.5.0,bytecode-pass,3.5.0,bytecode-pass,
ws.schild:jave-nativebin-osxm1,3.5.0,bytecode-pass,3.5.0,bytecode-pass,3.5.0,bytecode-pass,
ws.schild:jave-nativebin-win32,3.5.0,bytecode-pass,3.5.0,bytecode-pass,3.5.0,bytecode-pass,
ws.schild:jave-nativebin-win64,3.5.0,bytecode-pass,3.5.0,bytecode-pass,3.5.0,bytecode-pass,
wsdl4j:wsdl4j,1.6.3,bytecode-pass,1.6.3,bytecode-pass,1.6.3,bytecode-pass,
xalan:serializer,2.7.3,bytecode-pass,2.7.3,bytecode-pass,2.7.3,bytecode-pass,
xalan:xalan,2.7.3,bytecode-pass,2.7.3,bytecode-pass,2.7.3,bytecode-pass,
xml-apis:xml-apis,2.0.2,bytecode-pass,2.0.2,bytecode-pass,2.0.2,bytecode-pass,
xyz.raylab:jooq-plus,,unsupported,,excluded,,excluded,JDK 8: 发布 JAR 的基础字节码超过 JDK 8；不能由提高构建 JVM 绕过本版本线约束
