coordinate,jdk8_version,jdk8_status,jdk17_version,jdk17_status,jdk21_version,jdk21_status,notes
org.hsqldb:hsqldb,2.5.2,bytecode-pass,2.7.4,bytecode-pass,2.7.4,bytecode-pass,
org.hsqldb:sqltool,2.5.2,bytecode-pass,2.7.4,bytecode-pass,2.7.4,bytecode-pass,
org.htmlparser:htmlparser,2.1,bytecode-pass,2.1,bytecode-pass,2.1,bytecode-pass,
org.htmlunit:htmlunit,4.21.0,bytecode-pass,4.21.0,bytecode-pass,4.21.0,bytecode-pass,
org.iherus.shiro:shiro-redis,2.5.0,bytecode-pass,,replacement,2.5.0,bytecode-pass,
org.influxdb:influxdb-java,2.25,bytecode-pass,2.25,bytecode-pass,2.25,bytecode-pass,
org.isomorphism:token-bucket,1.7,bytecode-pass,1.7,bytecode-pass,1.7,bytecode-pass,
org.jasig.cas.client:cas-client-core,3.6.4,bytecode-pass,,replacement,,replacement,
org.jasig.cas.client:cas-client-support-distributed-memcached,3.6.4,bytecode-pass,,replacement,,replacement,
org.jasig.cas.client:cas-client-support-saml,3.6.4,bytecode-pass,,replacement,,replacement,
org.jasypt:jasypt,1.9.3,bytecode-pass,1.9.3,bytecode-pass,1.9.3,bytecode-pass,
org.java-websocket:Java-WebSocket,1.6.0,bytecode-pass,1.6.0,bytecode-pass,1.6.0,bytecode-pass,
org.javassist:javassist,3.32.0-GA,bytecode-pass,3.32.0-GA,bytecode-pass,3.32.0-GA,bytecode-pass,
org.javers:javers-core,6.14.0,bytecode-pass,7.11.4,bytecode-pass,7.11.4,bytecode-pass,
org.javers:javers-spring,6.14.0,bytecode-pass,7.11.4,bytecode-pass,7.11.4,bytecode-pass,
org.jboss.logging:jboss-logging,,absent,3.6.1.Final,bytecode-pass,3.6.1.Final,bytecode-pass,
org.jboss.xnio.netty:netty-xnio-transport,0.1.10.Final,bytecode-pass,0.1.10.Final,bytecode-pass,0.1.10.Final,bytecode-pass,
org.jboss.xnio:xnio-api,3.8.17.Final,bytecode-pass,3.8.17.Final,bytecode-pass,3.8.17.Final,bytecode-pass,
org.jboss.xnio:xnio-nio,3.8.17.Final,bytecode-pass,3.8.17.Final,bytecode-pass,3.8.17.Final,bytecode-pass,
org.jdbi:jdbi3-core,3.39.0,bytecode-pass,3.49.6,bytecode-pass,3.49.6,bytecode-pass,
org.jdom:jdom2,2.0.6.1,bytecode-pass,2.0.6.1,bytecode-pass,2.0.6.1,bytecode-pass,
org.jetbrains.kotlin:kotlin-stdlib,2.2.21,bytecode-pass,2.0.21,bytecode-pass,2.0.21,bytecode-pass,
org.jetbrains.kotlin:kotlin-stdlib-jdk8,2.2.21,bytecode-pass,2.0.21,bytecode-pass,2.0.21,bytecode-pass,
org.jetbrains:annotations,26.1.0,bytecode-pass,26.1.0,bytecode-pass,26.1.0,bytecode-pass,
org.jgroups:jgroups,4.2.30.Final,bytecode-pass,5.5.6.Final,bytecode-pass,5.5.6.Final,bytecode-pass,
org.jodd:jodd-bean,5.1.6,bytecode-pass,5.1.6,bytecode-pass,5.1.6,bytecode-pass,
org.jodd:jodd-core,5.3.0,bytecode-pass,5.3.0,bytecode-pass,5.3.0,bytecode-pass,
org.jooq:jooq,3.14.16,bytecode-pass,3.19.30,bytecode-pass,3.21.6,bytecode-pass,
org.jooq:jooq-codegen,3.14.16,bytecode-pass,3.19.30,bytecode-pass,3.21.6,bytecode-pass,
org.jooq:jooq-meta,3.14.16,bytecode-pass,3.19.30,bytecode-pass,3.21.6,bytecode-pass,
org.json:json,20260522,bytecode-pass,20260522,bytecode-pass,20260522,bytecode-pass,
org.jsoup:jsoup,1.22.2,bytecode-pass,1.22.2,bytecode-pass,1.22.2,bytecode-pass,
org.junit.jupiter:junit-jupiter,5.11.4,bytecode-pass,6.0.3,bytecode-pass,6.1.0,bytecode-pass,
org.junit.jupiter:junit-jupiter-api,5.11.4,bytecode-pass,6.1.0,bytecode-pass,6.1.0,bytecode-pass,
org.junit.jupiter:junit-jupiter-engine,5.11.4,bytecode-pass,6.1.0,bytecode-pass,6.1.0,bytecode-pass,
org.junit.jupiter:junit-jupiter-params,5.11.4,bytecode-pass,6.1.0,bytecode-pass,6.1.0,bytecode-pass,
org.junit.platform:junit-platform-commons,1.11.4,bytecode-pass,6.1.0,bytecode-pass,6.1.0,bytecode-pass,
org.junit.platform:junit-platform-engine,1.11.4,bytecode-pass,6.1.0,bytecode-pass,6.1.0,bytecode-pass,
org.junit.platform:junit-platform-launcher,1.11.4,bytecode-pass,6.1.0,bytecode-pass,6.1.0,bytecode-pass,
org.keycloak:keycloak-admin-client,,absent,26.0.11,bytecode-pass,26.0.11,bytecode-pass,
org.liquibase:liquibase-cdi,,absent,4.33.0,bytecode-pass,4.33.0,bytecode-pass,
org.liquibase:liquibase-core,4.19.1,bytecode-pass,4.33.0,bytecode-pass,4.33.0,bytecode-pass,
org.lz4:lz4-java,1.8.1,unverified-artifact,1.8.1,unverified-artifact,1.8.1,unverified-artifact,
org.mapstruct:mapstruct,1.6.3,bytecode-pass,1.6.3,bytecode-pass,1.6.3,bytecode-pass,
org.mapstruct:mapstruct-jdk8,1.6.3,bytecode-pass,1.6.3,bytecode-pass,1.6.3,bytecode-pass,
org.mapstruct:mapstruct-processor,1.6.3,bytecode-pass,1.6.3,bytecode-pass,1.6.3,bytecode-pass,
org.mariadb.jdbc:mariadb-java-client,3.5.9,bytecode-pass,3.5.9,bytecode-pass,3.5.9,bytecode-pass,
org.mariadb:r2dbc-mariadb,1.4.1,bytecode-pass,1.4.1,bytecode-pass,1.4.1,bytecode-pass,
org.messaginghub:pooled-jms,,absent,3.1.8,bytecode-pass,3.1.8,bytecode-pass,
org.mockito:mockito-core,4.11.0,bytecode-pass,5.19.0,bytecode-pass,5.23.0,bytecode-pass,
org.mockito:mockito-junit-jupiter,4.11.0,bytecode-pass,5.23.0,bytecode-pass,5.23.0,bytecode-pass,
org.mongodb:mongo-java-driver,3.12.14,bytecode-pass,3.12.14,bytecode-pass,3.12.14,bytecode-pass,
org.mybatis.caches:mybatis-caffeine,1.0.1,bytecode-pass,1.2.1,bytecode-pass,1.2.1,bytecode-pass,
org.mybatis.caches:mybatis-hazelcast,1.3.1,bytecode-pass,1.4.0,bytecode-pass,1.4.0,bytecode-pass,
