coordinate	declared_expression	selected_spdx	evidence_url	evidence_type	justification
org.eclipse.jetty:jetty-http:12.1.5	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-http/12.1.5/jetty-http-12.1.5.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-http:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-http/12.1.8/jetty-http-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-io:12.1.5	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-io/12.1.5/jetty-io-12.1.5.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-io:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-io/12.1.8/jetty-io-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-jndi:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-jndi/12.1.8/jetty-jndi-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-plus:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-plus/12.1.8/jetty-plus-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-security:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-security/12.1.8/jetty-security-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-security:12.1.9	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-security/12.1.9/jetty-security-12.1.9.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-server:12.1.5	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-server/12.1.5/jetty-server-12.1.5.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-server:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-server/12.1.8/jetty-server-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
